order_id,customer_id,product_id,quantity,order_date,order_time,payment_method,order_status,shipping_city,discount_percentage
ORD-00040,853,15,2,05/04/2026,17:23:48,e-wallet,cancelled,Hīsh,0
ORD-00041,867,10,1,22/01/2026,2:13:08,bank_transfer,cancelled,Perelyub,0
ORD-00042,25,6,2,16/03/2026,3:16:52,e-wallet,completed,El Pino,30
ORD-00043,1510,14,1,20/04/2026,17:43:36,credit_card,pending,Bestovje,0
ORD-00044,288,13,5,16/01/2026,22:55:03,bank_transfer,cancelled,Gornyy,0
ORD-00045,1941,8,1,01/03/2026,18:11:45,e-wallet,pending,Cipunglu,0
ORD-00046,1854,6,3,18/05/2026,5:51:42,e-wallet,pending,Raphoe,15
ORD-00047,1806,5,2,07/05/2026,6:45:34,bank_transfer,pending,Villa La Angostura,0
ORD-00048,941,16,3,10/01/2026,1:37:38,e-wallet,cancelled,Aytos,0
ORD-00049,1934,13,1,18/03/2026,13:37:29,bank_transfer,completed,Santiago de Chuco,0
ORD-00050,141,14,7,11/04/2026,6:16:39,bank_transfer,cancelled,Gujō,0
ORD-00051,1263,2,2,,23:13:46,credit_card,completed,Koppies,10
ORD-00052,3,5,2,08/03/2026,4:20:55,e-wallet,pending,Saratamata,0
ORD-00053,560,9,1,20/02/2026,20:42:46,e-wallet,pending,Menlou,15
ORD-00054,1540,3,2,28/01/2026,8:33:45,e-wallet,cancelled,Krajanpagowan,0
ORD-00055,594,18,4,19/01/2026,0:48:53,bank_transfer,pending,Chynów,0
ORD-00056,402,20,2,02/02/2026,20:31:44,cod,completed,Wangren,0
ORD-00057,1185,1,4,15/03/2026,12:37:31,e-wallet,cancelled,Lebel-sur-Quévillon,0
ORD-00058,689,3,2,27/04/2026,4:59:19,cod,completed,Cumedak,0
ORD-00059,633,1,6,19/06/2026,21:05:09,bank_transfer,completed,Astromil,0
ORD-00060,925,13,1,25/02/2026,22:01:10,bank_transfer,pending,Cabudare,0
ORD-00061,21,18,6,11/06/2026,0:04:40,cod,cancelled,Jiujie,0
ORD-00062,741,12,7,31/03/2026,15:40:57,bank_transfer,completed,Daoxian,0
ORD-00063,1170,20,1,07/04/2026,8:41:24,e-wallet,pending,Kétou,10
ORD-00064,130,14,6,,10:23:50,e-wallet,completed,Krzyżanowice,0
ORD-00065,1781,16,2,25/01/2026,18:26:10,e-wallet,completed,Bendungan,15
ORD-00066,1478,10,2,12/05/2026,,e-wallet,pending,Abnūb,15
ORD-00067,170,7,2,23/06/2026,8:16:54,e-wallet,completed,Šentjur,0
ORD-00068,1487,8,1,29/06/2026,12:17:51,bank_transfer,completed,Yazykovo,0
ORD-00069,181,4,2,10/03/2026,10:56:57,credit_card,pending,Kapiri Mposhi,15
ORD-00070,874,13,1,05/01/2026,19:39:15,bank_transfer,pending,Jdaidet el Matn,0
ORD-00071,1248,20,1,15/06/2026,9:32:49,e-wallet,completed,Medvezh’yegorsk,0
ORD-00072,1849,8,1,05/01/2026,21:07:03,bank_transfer,cancelled,Helsingborg,0
ORD-00073,685,15,2,22/03/2026,14:16:57,bank_transfer,completed,Guangping,0
ORD-00074,1245,6,3,24/06/2026,9:08:32,bank_transfer,completed,Adelaide,15
ORD-00075,625,15,5,07/01/2026,15:32:06,e-wallet,completed,Vodňany,0
ORD-00076,557,10,4,16/04/2026,21:31:03,e-wallet,cancelled,Avignon,0
ORD-00077,1249,8,2,24/02/2026,10:57:59,cod,pending,Zhanaozen,0
ORD-00078,415,4,1,18/02/2026,18:37:15,e-wallet,cancelled,Kaliro,0
ORD-00079,1082,3,1,05/06/2026,18:29:22,cod,cancelled,Lons-le-Saunier,0
ORD-00080,1781,11,6,17/01/2026,14:52:56,e-wallet,completed,Jargalant,0
ORD-00081,136,7,5,06/01/2026,21:33:39,bank_transfer,pending,Kui Buri,0
ORD-00082,1763,2,1,,2:48:35,e-wallet,completed,Jinping,10
ORD-00083,1823,9,3,17/05/2026,17:53:46,bank_transfer,completed,Zyuzino,0
ORD-00084,1231,5,1,,14:20:25,credit_card,pending,Berovo,0
ORD-00085,1860,5,2,15/01/2026,,bank_transfer,completed,Pokrovskoye-Streshnëvo,0
ORD-00086,967,5,4,20/04/2026,5:31:14,e-wallet,pending,Voskop,0
ORD-00087,651,18,2,29/04/2026,17:43:20,e-wallet,completed,Solntsevo,0
ORD-00088,168,6,1,19/02/2026,16:24:10,e-wallet,cancelled,Metz,0
ORD-00089,378,12,1,07/04/2026,16:53:15,bank_transfer,completed,San Javier,0
ORD-00090,862,1,5,06/02/2026,10:01:09,e-wallet,refunded,Ōarai,0
ORD-00091,943,1,1,29/04/2026,2:46:52,bank_transfer,pending,Maikun,10
ORD-00092,20,15,1,12/03/2026,0:22:50,e-wallet,completed,Gannan,10
ORD-00093,660,12,5,26/05/2026,,credit_card,completed,Helsingborg,0
ORD-00094,1770,18,2,28/05/2026,19:51:03,bank_transfer,completed,Thị Trấn Phong Thổ,0
ORD-00095,795,19,2,21/01/2026,7:44:16,bank_transfer,pending,Soly,0
ORD-00096,1282,14,4,01/02/2026,22:33:38,credit_card,pending,Zongzhai,0
ORD-00097,834,7,3,02/05/2026,23:11:05,e-wallet,completed,Drohobych,0
ORD-00098,129,8,3,14/02/2026,6:59:06,cod,cancelled,Xigebi,0
ORD-00099,32,14,3,23/02/2026,10:12:17,cod,cancelled,Portelinha,0
ORD-00100,1668,14,3,18/01/2026,,e-wallet,completed,Miches,0
ORD-00101,1936,3,1,25/05/2026,4:16:59,e-wallet,pending,Wāling,0
ORD-00102,448,10,1,12/03/2026,6:01:38,cod,pending,Kanugrahan,0
ORD-00103,877,6,3,28/01/2026,17:52:49,e-wallet,cancelled,Lyon,0
ORD-00104,690,15,7,09/06/2026,6:13:42,e-wallet,refunded,Rancageneng Satu,0
ORD-00105,705,17,1,18/02/2026,23:46:33,bank_transfer,completed,Pīrgaaj,0
ORD-00106,1463,16,1,08/02/2026,15:49:59,e-wallet,completed,Siedlce,0
ORD-00107,1066,20,1,24/03/2026,6:51:42,e-wallet,refunded,Rakek,15
ORD-00108,427,5,1,15/06/2026,17:20:28,bank_transfer,completed,Pau,0
ORD-00109,312,7,1,14/03/2026,21:26:17,e-wallet,pending,Jiangkou,0
ORD-00110,192,9,5,06/05/2026,21:58:23,e-wallet,refunded,Ozëry,0
ORD-00111,115,2,2,04/05/2026,7:05:02,bank_transfer,completed,Markham,0
ORD-00112,1659,18,1,09/04/2026,16:43:45,e-wallet,pending,Mangqu,15
ORD-00113,763,16,4,14/05/2026,18:40:24,credit_card,pending,Quốc Oai,0
ORD-00114,1894,13,1,04/02/2026,7:12:45,e-wallet,cancelled,Altos,15
ORD-00115,1937,3,1,26/06/2026,1:07:36,e-wallet,pending,Puncaktugu,0
ORD-00116,385,5,3,22/01/2026,3:18:23,bank_transfer,pending,Bandong,0
ORD-00117,376,3,6,14/01/2026,12:27:43,e-wallet,completed,Okpoga,0
ORD-00118,1801,20,1,17/03/2026,5:05:59,bank_transfer,cancelled,Thị Trấn Tam Điệp,0
ORD-00119,393,1,2,19/01/2026,17:08:21,bank_transfer,pending,Suzano,10
ORD-00120,516,2,1,21/06/2026,6:25:56,e-wallet,refunded,Ermida,30
ORD-00121,530,17,2,05/02/2026,16:33:56,e-wallet,pending,Josefina,0
ORD-00122,94,6,4,16/04/2026,15:31:22,bank_transfer,pending,Amsterdam,0
ORD-00123,562,13,6,13/06/2026,18:46:40,bank_transfer,cancelled,Nangtang,0
ORD-00124,4,17,2,18/03/2026,0:23:13,bank_transfer,completed,Kovači,0
ORD-00125,1755,20,6,08/05/2026,23:23:14,e-wallet,pending,Oli,0
ORD-00126,203,12,1,,14:09:44,e-wallet,completed,El Cafetal,0
ORD-00127,595,1,2,30/01/2026,2:00:52,e-wallet,pending,,0
ORD-00128,1834,14,4,01/01/2026,10:14:43,bank_transfer,cancelled,Kirkuk,0
ORD-00129,1143,5,4,28/04/2026,15:33:12,e-wallet,completed,Boulogne-Billancourt,10
ORD-00130,664,16,2,19/06/2026,10:14:22,credit_card,completed,Teruel,15
ORD-00131,124,9,1,04/06/2026,18:36:30,bank_transfer,completed,São José dos Pinhais,10
ORD-00132,275,15,5,10/05/2026,,bank_transfer,cancelled,Lodhrān,0
ORD-00133,1902,15,3,04/01/2026,11:47:51,,pending,Tendō,0
ORD-00134,596,17,3,27/05/2026,6:34:35,e-wallet,refunded,Rashaant,15
ORD-00135,738,20,6,09/01/2026,21:49:31,cod,pending,Tovačov,0
ORD-00136,1528,11,5,31/05/2026,2:08:38,bank_transfer,completed,Tarusan,0
ORD-00137,715,3,2,13/06/2026,5:14:34,e-wallet,pending,Châteauroux,0
ORD-00138,500,5,4,18/01/2026,9:28:02,bank_transfer,completed,Bílina Kyselka,15
ORD-00139,278,2,1,01/04/2026,19:56:09,credit_card,completed,Atarodangwautu,0
ORD-00140,1399,5,3,10/06/2026,13:36:52,bank_transfer,completed,Jāsk,0
ORD-00141,1598,19,3,03/06/2026,19:52:50,e-wallet,cancelled,Papatowai,0
ORD-00142,840,18,3,15/01/2026,14:54:44,credit_card,completed,Matango,0
ORD-00143,211,19,2,26/05/2026,17:58:08,e-wallet,completed,,0
ORD-00144,757,8,1,22/01/2026,10:10:05,bank_transfer,completed,Saint-Laurent-du-Var,0
ORD-00145,1397,8,2,20/04/2026,23:15:27,e-wallet,pending,Garça,0
ORD-00146,791,10,2,21/04/2026,3:48:04,e-wallet,completed,Puente Nacional,0
ORD-00147,824,11,5,28/04/2026,23:38:56,bank_transfer,completed,Masebewa,10
ORD-00148,1203,10,4,20/02/2026,22:33:42,e-wallet,completed,Cacocum,10
ORD-00149,1545,15,1,29/03/2026,,e-wallet,cancelled,Tulihe,0
ORD-00150,1557,1,3,03/04/2026,20:12:17,credit_card,pending,Diamantina,0
ORD-00151,452,16,2,03/02/2026,22:01:22,bank_transfer,pending,Shahrisabz Shahri,0
ORD-00152,1645,6,2,19/03/2026,6:32:21,e-wallet,pending,Stari Grad,0
ORD-00153,1691,11,6,14/03/2026,12:57:12,e-wallet,cancelled,Oxelösund,30
ORD-00154,1700,13,4,18/06/2026,19:31:24,credit_card,completed,Khulm,0
ORD-00155,1481,15,1,24/01/2026,14:58:22,bank_transfer,completed,Mouhijärvi,0
ORD-00156,1007,10,1,08/04/2026,1:29:10,e-wallet,completed,Rublëvo,15
ORD-00157,658,15,5,27/01/2026,13:57:43,cod,completed,Balindong,0
ORD-00158,1739,5,1,12/01/2026,13:13:39,bank_transfer,pending,Dagohoy,30
ORD-00159,1097,3,3,21/03/2026,0:15:15,e-wallet,refunded,Ramada,0
ORD-00160,858,19,5,15/01/2026,20:17:34,e-wallet,completed,Qingfenglin,30
ORD-00161,1165,10,6,18/02/2026,0:03:56,e-wallet,refunded,Nanjie,0
ORD-00162,285,7,1,,18:04:03,bank_transfer,refunded,Wangon,0
ORD-00163,1652,7,6,21/02/2026,2:05:17,bank_transfer,completed,"Hospitalet De Llobregat, L'",30
ORD-00164,1564,8,2,21/02/2026,16:23:27,e-wallet,completed,Blagoevgrad,0
ORD-00165,857,15,3,22/05/2026,15:31:57,e-wallet,completed,Dongguan,0
ORD-00166,1543,14,1,20/02/2026,14:58:56,e-wallet,pending,Milton,10
ORD-00167,301,2,2,21/03/2026,2:22:49,e-wallet,cancelled,Rimus,0
ORD-00168,139,3,2,12/03/2026,23:32:05,credit_card,pending,Litvínovice,0
ORD-00169,386,14,1,25/05/2026,19:09:51,e-wallet,pending,,0
ORD-00170,20,7,6,29/01/2026,18:28:27,bank_transfer,pending,Ōtawara,0
ORD-00171,1096,3,5,26/05/2026,19:51:07,e-wallet,pending,Verenchanka,0
ORD-00172,1161,10,3,25/01/2026,22:46:01,e-wallet,pending,Łeba,0
ORD-00173,1521,19,1,11/06/2026,,e-wallet,completed,Cubatão,0
ORD-00174,220,7,6,02/06/2026,3:06:26,e-wallet,completed,Pécs,0
ORD-00175,1758,12,2,08/04/2026,19:57:01,e-wallet,completed,Castelo,0
ORD-00176,700,5,1,12/04/2026,1:50:29,e-wallet,pending,East London,0
ORD-00177,467,7,5,04/05/2026,6:24:13,credit_card,completed,Tha Ruea,0
ORD-00178,1539,20,1,07/04/2026,5:24:09,bank_transfer,completed,Qingkenpao,10
ORD-00179,1839,5,1,05/06/2026,21:27:48,credit_card,completed,Bang Bo,0
ORD-00180,1048,17,1,08/05/2026,23:50:34,e-wallet,completed,,0
ORD-00181,678,13,5,25/01/2026,16:20:59,e-wallet,pending,Bobowa,0
ORD-00182,1561,2,1,13/03/2026,6:43:43,bank_transfer,completed,San Isidro,0
ORD-00183,1313,8,1,04/04/2026,1:53:24,bank_transfer,cancelled,Dushan,10
ORD-00184,34,6,1,02/06/2026,22:07:05,cod,pending,,0
ORD-00185,505,2,3,11/05/2026,10:43:42,credit_card,completed,Muramvya,0
ORD-00186,1816,1,2,09/01/2026,7:55:07,e-wallet,cancelled,Kuala Lumpur,0
ORD-00187,869,19,2,19/04/2026,16:27:38,e-wallet,pending,Shuyuan,0
ORD-00188,1466,11,3,13/02/2026,19:44:47,bank_transfer,pending,Saint-Rémi,0
ORD-00189,1394,8,3,23/04/2026,19:08:40,e-wallet,refunded,Alquerubim,15
ORD-00190,1322,17,4,10/06/2026,18:01:36,bank_transfer,pending,Shenzhengqiao,0
ORD-00191,1916,17,3,08/02/2026,22:46:09,bank_transfer,pending,Tungoo,0
ORD-00192,663,17,3,08/03/2026,12:47:40,bank_transfer,completed,Kashirskoye,0
ORD-00193,203,11,6,25/05/2026,3:32:44,credit_card,completed,Guacara,0
ORD-00194,1282,16,3,24/03/2026,23:49:56,cod,completed,Minneapolis,0
ORD-00195,1957,11,6,17/04/2026,5:25:52,bank_transfer,pending,Lishu,0
ORD-00196,1916,2,2,19/01/2026,18:27:06,e-wallet,cancelled,Rancasadang,0
ORD-00197,226,18,4,13/02/2026,23:36:26,e-wallet,pending,Pehuajó,0
ORD-00198,1857,18,1,25/04/2026,14:39:00,cod,completed,Karma,0
ORD-00199,479,1,1,06/03/2026,3:20:44,e-wallet,completed,,30
ORD-00200,1281,12,1,16/04/2026,2:22:33,bank_transfer,completed,‘Akko,0
ORD-00201,1170,11,1,,7:41:33,cod,completed,Kirawsk,15
ORD-00202,416,9,4,09/04/2026,13:36:42,e-wallet,cancelled,Ronneby,0
ORD-00203,599,15,4,04/03/2026,9:52:16,cod,completed,Lishan,0
ORD-00204,200,2,3,14/03/2026,5:36:14,cod,cancelled,Babiak,0
ORD-00205,1262,17,2,04/01/2026,13:54:21,e-wallet,pending,Verkhnya Rozhanka,0
ORD-00206,1386,18,1,10/01/2026,18:14:12,e-wallet,completed,Guanyinge,10
ORD-00207,1557,19,1,04/04/2026,6:33:42,e-wallet,pending,Quito,0
ORD-00208,302,3,1,28/05/2026,19:45:35,bank_transfer,completed,Dikou,0
ORD-00209,154,19,1,01/05/2026,3:29:29,e-wallet,completed,Zamora,0
ORD-00210,1707,6,2,,20:17:47,bank_transfer,pending,Moste,0
ORD-00211,1547,1,2,15/01/2026,6:49:20,credit_card,pending,Jadów,0
ORD-00212,1845,18,1,09/04/2026,19:56:19,e-wallet,cancelled,Merrifield,0
ORD-00213,1339,7,2,04/06/2026,17:10:20,e-wallet,completed,Stamáta,0
ORD-00214,1737,17,1,08/06/2026,4:47:54,bank_transfer,pending,Baiquan,0
ORD-00215,1486,17,2,13/01/2026,16:18:30,cod,pending,Seymchan,0
ORD-00216,907,5,1,02/01/2026,22:08:15,bank_transfer,cancelled,Tranås,0
ORD-00217,63,14,2,31/01/2026,5:49:34,bank_transfer,refunded,Huangjiabu,15
ORD-00218,906,3,1,30/05/2026,3:07:34,bank_transfer,completed,Uluale,15
ORD-00219,1826,8,2,10/02/2026,22:57:48,e-wallet,cancelled,Lapas,0
ORD-00220,1383,10,4,12/01/2026,21:00:45,cod,pending,Xiaohebian,0
ORD-00221,206,13,4,13/05/2026,6:51:41,e-wallet,cancelled,Nishinomiya-hama,0
ORD-00222,1301,9,7,04/04/2026,23:13:01,e-wallet,pending,Edinburgh,0
ORD-00223,1122,14,1,10/04/2026,11:47:46,e-wallet,pending,Safi,0
ORD-00224,872,8,6,18/05/2026,21:55:12,e-wallet,completed,Saguday,0
ORD-00225,1440,11,7,17/01/2026,3:41:25,e-wallet,refunded,São Gonçalo do Amarante,0
ORD-00226,1415,11,1,08/02/2026,11:01:36,,completed,Bacnar,0
ORD-00227,935,13,3,21/05/2026,,bank_transfer,refunded,Luodian,0
ORD-00228,62,1,4,17/03/2026,11:46:02,bank_transfer,pending,Wangqu,10
ORD-00229,1841,4,5,31/05/2026,6:08:26,e-wallet,pending,Jagong,15
ORD-00230,1003,1,1,04/05/2026,6:38:28,credit_card,completed,Oliveirinha,15
ORD-00231,531,11,1,18/06/2026,19:49:33,e-wallet,completed,Zeist,0
ORD-00232,394,18,1,24/02/2026,4:49:19,credit_card,completed,Kanungu,0
ORD-00233,145,3,2,31/05/2026,23:17:17,e-wallet,completed,Stockholm,0
ORD-00234,692,20,1,19/05/2026,10:07:47,credit_card,completed,Niujiang,0
ORD-00235,653,17,1,30/03/2026,8:37:12,bank_transfer,pending,Mufulira,0
ORD-00236,427,6,3,17/06/2026,,cod,completed,Slobodskoy,0
ORD-00237,1746,5,1,07/04/2026,4:27:36,e-wallet,completed,Zākhū,0
ORD-00238,1015,18,2,03/05/2026,11:16:47,credit_card,completed,San Miguel,0
ORD-00239,766,19,1,05/03/2026,20:08:53,e-wallet,completed,Hòa Bình,0
ORD-00240,635,9,3,19/04/2026,8:37:32,e-wallet,completed,Banī an Nahārī,0
ORD-00241,68,7,1,25/03/2026,10:47:34,,pending,Ceerigaabo,0
ORD-00242,1723,13,2,09/01/2026,11:59:57,cod,refunded,Wangmang,0
ORD-00243,37,20,1,29/05/2026,0:02:28,e-wallet,completed,Ximei,0
ORD-00244,1654,16,6,04/02/2026,18:55:18,e-wallet,pending,Bogi,30
ORD-00245,1366,11,1,04/01/2026,23:17:21,bank_transfer,cancelled,Luzhou,0
ORD-00246,211,18,6,10/03/2026,20:36:46,bank_transfer,pending,Thạnh Mỹ,0
ORD-00247,1893,12,3,17/06/2026,16:10:15,cod,completed,Amapala,0
ORD-00248,1648,20,2,25/02/2026,0:52:05,bank_transfer,pending,Jembatandua,0
ORD-00249,1700,20,2,03/01/2026,3:59:51,bank_transfer,pending,Guadalupe,15
ORD-00250,1185,9,5,04/05/2026,23:33:29,bank_transfer,completed,Podbrdo,0
ORD-00251,632,4,3,14/06/2026,18:43:32,bank_transfer,completed,Osek nad Bečvou,10
ORD-00252,981,13,1,12/03/2026,14:37:28,e-wallet,pending,Prigi,0
ORD-00253,1129,11,5,17/01/2026,22:25:16,e-wallet,completed,Bongued,0
ORD-00254,1213,11,2,15/01/2026,0:42:44,credit_card,completed,Sapeken,0
ORD-00255,1381,4,4,04/01/2026,9:43:43,bank_transfer,cancelled,Vanderbijlpark,0
ORD-00256,19,6,1,13/05/2026,18:06:37,bank_transfer,completed,Muara Sabak,15
ORD-00257,999,14,1,22/03/2026,2:33:48,bank_transfer,cancelled,Pryazovs’ke,10
ORD-00258,1090,10,1,26/02/2026,23:42:53,credit_card,completed,Borås,0
ORD-00259,1462,6,1,23/02/2026,17:11:17,credit_card,pending,Mandala,0
ORD-00260,850,9,1,05/01/2026,21:14:29,e-wallet,completed,Kuala Baru,0
ORD-00261,1418,4,1,07/02/2026,21:59:43,e-wallet,completed,Devesa,0
ORD-00262,756,8,2,25/03/2026,10:12:22,bank_transfer,pending,San Francisco,30
ORD-00263,1429,11,1,30/03/2026,10:17:09,bank_transfer,pending,Langley,0
ORD-00264,537,1,6,11/01/2026,4:16:14,credit_card,completed,Shums’k,0
ORD-00265,918,8,1,05/02/2026,7:07:01,bank_transfer,refunded,Chełmża,0
ORD-00266,905,2,2,26/05/2026,7:11:56,e-wallet,pending,Lawepakam,0
ORD-00267,1697,14,4,06/03/2026,15:00:54,cod,completed,Alcácer do Sal,0
ORD-00268,154,13,1,06/01/2026,9:57:21,,completed,La Paz,30
ORD-00269,960,10,1,22/06/2026,22:58:06,e-wallet,cancelled,Patrocinio,15
ORD-00270,1453,13,2,19/01/2026,10:07:32,bank_transfer,pending,Bells Corners,0
ORD-00271,736,12,1,09/01/2026,2:31:01,credit_card,cancelled,Sapele,0
ORD-00272,300,12,1,14/06/2026,2:49:00,cod,pending,Orléans,0
ORD-00273,662,14,2,12/03/2026,0:34:42,bank_transfer,refunded,Chak Two Hundred Forty-Nine TDA,0
ORD-00274,1589,1,1,19/04/2026,22:48:00,e-wallet,cancelled,Stepojevac,0
ORD-00275,413,12,2,15/04/2026,11:26:34,e-wallet,completed,Wujia,15
ORD-00276,428,16,2,,17:02:47,bank_transfer,cancelled,Duanshen,15
ORD-00277,1886,18,7,08/02/2026,,e-wallet,refunded,Lianshan,30
ORD-00278,678,10,2,22/01/2026,23:40:23,e-wallet,pending,Pueblo Nuevo,0
ORD-00279,847,10,2,18/06/2026,12:08:39,bank_transfer,completed,Rubizhne,0
ORD-00280,297,19,1,02/01/2026,6:31:27,e-wallet,cancelled,Jacksonville,15
ORD-00281,1918,19,3,12/06/2026,7:03:31,e-wallet,pending,Ledenice,0
ORD-00282,688,3,2,16/04/2026,20:33:31,e-wallet,pending,Teplice,0
ORD-00283,930,13,3,19/04/2026,14:21:21,e-wallet,completed,Caen,0
ORD-00284,1216,3,2,13/01/2026,20:40:54,cod,pending,,0
ORD-00285,594,1,6,17/05/2026,12:04:21,cod,completed,Perth,0
ORD-00286,1261,8,3,25/02/2026,16:28:02,credit_card,pending,,0
ORD-00287,1692,6,1,31/05/2026,20:54:40,e-wallet,cancelled,Tianjiazhai,0
ORD-00288,1884,10,1,05/02/2026,4:48:56,e-wallet,pending,Lian’an,0
ORD-00289,274,2,1,,17:01:44,cod,pending,Blois,0
ORD-00290,1601,16,1,29/01/2026,6:54:28,cod,completed,Matarraque,0
ORD-00291,1832,10,1,,1:19:03,e-wallet,cancelled,Dumalinao,0
ORD-00292,839,1,4,07/06/2026,15:45:38,e-wallet,cancelled,Xiaoxiang,0
ORD-00293,291,4,4,17/05/2026,,bank_transfer,cancelled,Dulce Nombre de Culmí,0
ORD-00294,441,1,1,09/01/2026,10:07:47,,pending,Aucayacu,0
ORD-00295,1958,5,2,29/06/2026,17:33:14,bank_transfer,cancelled,Cibeureum Satu,0
ORD-00296,563,8,2,21/03/2026,22:19:39,bank_transfer,cancelled,Sungai Raya,0
ORD-00297,1140,9,5,02/02/2026,7:23:32,e-wallet,pending,Gandajika,0
ORD-00298,1007,3,2,29/06/2026,20:19:36,e-wallet,completed,Doujia,0
ORD-00299,452,5,3,25/02/2026,19:07:28,cod,pending,El Mida,0
ORD-00300,295,20,6,25/04/2026,18:19:46,bank_transfer,completed,Benito Juarez,0
ORD-00301,944,20,2,07/01/2026,0:01:33,cod,pending,Huangtukuang,0
ORD-00302,288,11,4,27/05/2026,15:25:08,cod,completed,Zghartā,10
ORD-00303,1929,4,1,20/02/2026,15:00:58,e-wallet,cancelled,Gierałtowice,15
ORD-00304,74,5,5,23/06/2026,20:05:13,e-wallet,completed,Tianning,0
ORD-00305,1242,17,2,13/04/2026,9:53:46,credit_card,completed,Kahuripan,0
ORD-00306,1776,10,1,03/03/2026,13:25:19,credit_card,completed,Hayil,15
ORD-00307,1351,2,1,10/03/2026,4:59:01,bank_transfer,completed,Qi’an,0
ORD-00308,1366,14,2,19/03/2026,6:30:02,bank_transfer,cancelled,Aryiropoúlion,0
ORD-00309,1797,17,1,08/03/2026,,bank_transfer,completed,,10
ORD-00310,180,15,3,03/02/2026,7:12:47,credit_card,refunded,Leština,0
ORD-00311,1810,6,3,02/06/2026,2:08:14,e-wallet,refunded,Ngrejo,0
ORD-00312,866,13,1,17/06/2026,5:43:40,cod,completed,,10
ORD-00313,1805,20,2,14/04/2026,10:38:52,bank_transfer,completed,Freguesia do Ribeirao da Ilha,0
ORD-00314,1276,4,4,26/03/2026,0:20:52,credit_card,pending,Port Hawkesbury,0
ORD-00315,892,7,6,03/05/2026,8:49:08,credit_card,cancelled,Tambir,0
ORD-00316,1550,18,2,23/01/2026,8:40:58,cod,refunded,Mili,0
ORD-00317,699,6,3,20/03/2026,17:41:45,e-wallet,cancelled,Saint John,0
